PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug
PMC4270526,"A key mediator, PTX3, of IKK/IκB/NF-κB exacerbates human umbilical vein endothelial cell injury and dysfunction.",This study was performed to investigate PTX3-mediated iNOS expression and IKK/IκB/NF-κB activation in PA-induced atherosclerotic HUVECs injury model.,O14920,PCA,"['IKK-2', 'IKK2']",['PCA'],[],[],"['IKK-2', 'IKK2']",['PCA']
PMC4270526,"A key mediator, PTX3, of IKK/IκB/NF-κB exacerbates human umbilical vein endothelial cell injury and dysfunction.",This study was performed to investigate PTX3-mediated iNOS expression and IKK/IκB/NF-κB activation in PA-induced atherosclerotic HUVECs injury model.,O14920,PCA,"['IKK-2', 'IKK2']",['PCA'],[],[],"['IKK-2', 'IKK2']",['PCA']
PMC4270526,"A key mediator, PTX3, of IKK/IκB/NF-κB exacerbates human umbilical vein endothelial cell injury and dysfunction.",This study was performed to investigate PTX3-mediated iNOS expression and IKK/IκB/NF-κB activation in PA-induced atherosclerotic HUVECs injury model.,O14920,PCA,"['IKK-2', 'IKK2']",['PCA'],[],[],"['IKK-2', 'IKK2']",['PCA']
PMC4057899,Central role for protein kinase C in oxytocin and epidermal growth factor stimulated cyclooxygenase 2 expression in human myometrial cells.,"Prostaglandins are important mediators of uterine contractility and cervical ripening during labour. Cyclooxygenase-2 (COX-2), also known as prostaglandin-endoperoxide synthase 2, is a rate limiting enzyme involved in the conversion of arachidonic acid into prostaglandins at parturition. In this paper, the pathways underlying agonist-induced cyclooxygenase-2 expression in human myometrial cells were studied.",O14920,PCA,['IKK-2'],['PCA'],[],[],['IKK-2'],['PCA']
PMC3689961,IκB kinase β (IKKβ) inhibits p63 isoform γ (TAp63γ) transcriptional activity.,"Previously, we reported that IκB kinase-β(IKKβ) phosphorylates and stabilizes TAp63γ. However, the effect of this phosphorylation on TAp63γ transcriptional activity remains unclear. In this study, we showed that overexpression of IKKβ, but not its kinase dead mutant and IKKα, can surprisingly inhibit TAp63γ transcriptional activity as measured by luciferase assays and real-time PCR analyses of p63 target genes. This inhibition was impaired by ACHP, an IKKβ inhibitor, and enhanced by TNFα that activates IKKβ. Consistently, IKKβ inhibited the binding between TAp63γ and p300, a co-activator of TAp63γ, and consequently counteracted the positive effect of p300 on TAp63γ transcriptional activity. Through phosphorylation site prediction and mass spectrometry, we identified that Ser-4 and Ser-12 of p63 are IKKβ-targeting residues. As expected, IKKβ fails to suppress the transcriptional activity of the S4A/S12A double mutant p63. These results indicate that IKKβ can suppress TAp63γ activity by interfering with the interaction between TAp63γ and p300.",O14920,XA,['IKK-2'],['XA'],[],[],['IKK-2'],['XA']
PMC2679349,Protein kinase Cmu plays an essential role in hypertonicity-induced heat shock protein 70 expression.,"Heat shock protein 70 (HSP70), which evidences important functions as a molecular chaperone and anti-apoptotic molecule, is substantially induced in cells exposed to a variety of stresses, including hypertonic stress, heavy metals, heat shock, and oxidative stress, and prevents cellular damage under these conditions. However, the molecular mechanism underlying the induction of HSP70 in response to hypertonicity has been characterized to a far lesser extent. In this study, we have investigated the cellular signaling pathway of HSP70 induction under hypertonic conditions. Initially, we applied a variety of kinase inhibitors to NIH3T3 cells that had been exposed to hypertonicity. The induction of HSP70 was suppressed specifically by treatment with protein kinase C (PKC) inhibitors (Gö6976 and GF109203X). As hypertonicity dramatically increased the phosphorylation of PKCmu, we then evaluated the role of PKCmu in hypertonicity-induced HSP70 expression and cell viability. The depletion of PKCmu with siRNA or the inhibition of PKCmu activity with inhibitors resulted in a reduction in HSP70 induction and cell viability. Tonicity-responsive enhancer binding protein (TonEBP), a transcription factor for hypertonicity-induced HSP70 expression, was translocated rapidly into the nucleus and was modified gradually in the nucleus under hypertonic conditions. When we administered treatment with PKC inhibitors, the mobility shift of TonEBP was affected in the nucleus. However, PKCmu evidenced no subcellular co-localization with TonEBP during hypertonic exposure. From our results, we have concluded that PKCmu performs a critical function in hypertonicity-induced HSP70 induction, and finally cellular protection, via the indirect regulation of TonEBP modification.",O94916,XA,"['Tonicity-responsive enhancer-binding protein', 'TonEBP']",['XA'],[],[],"['Tonicity-responsive enhancer-binding protein', 'TonEBP']",['XA']
PMC11157872,Plasma exosomes from patients with active thyroid-associated orbitopathy induce inflammation and fibrosis in orbital fibroblasts.,"The pathogenesis of thyroid-associated orbitopathy (TAO) remains incompletely understand. The interaction between immunocytes and orbital fibroblasts (OFs) play a critical role in orbital inflammatory and fibrosis. Accumulating reports indicate that a significant portion of plasma exosomes (Pla-Exos) are derived from immune cells; however, their impact upon OFs function is unclear.",P00533,PCA,['Genes'],['PCA'],[],[],['Genes'],['PCA']
PMC11145185,Inhibition of mRNA nuclear export promotes SARS-CoV-2 pathogenesis.,"The nonstructural protein 1 (Nsp1) of SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2) is a virulence factor that targets multiple cellular pathways to inhibit host gene expression and antiviral response. However, the underlying mechanisms of the various Nsp1-mediated functions and their contributions to SARS-CoV-2 virulence remain unclear. Among the targets of Nsp1 is the mRNA (messenger ribonucleic acid) export receptor NXF1-NXT1, which mediates nuclear export of mRNAs from the nucleus to the cytoplasm. Based on Nsp1 crystal structure, we generated mutants on Nsp1 surfaces and identified an acidic N-terminal patch that is critical for interaction with NXF1-NXT1. Photoactivatable Nsp1 probe reveals the RNA Recognition Motif (RRM) domain of NXF1 as an Nsp1 N-terminal binding site. By mutating the Nsp1 N-terminal acidic patch, we identified a separation-of-function mutant of Nsp1 that retains its translation inhibitory function but substantially loses its interaction with NXF1 and reverts Nsp1-mediated mRNA export inhibition. We then generated a recombinant (r)SARS-CoV-2 mutant on the Nsp1 N-terminal acidic patch and found that this surface is key to promote NXF1 binding and inhibition of host mRNA nuclear export, viral replication, and pathogenicity in vivo. Thus, these findings provide a mechanistic understanding of Nsp1-mediated mRNA export inhibition and establish the importance of this pathway in the virulence of SARS-CoV-2.",P00533,PCA,"['Genes', 'mENA']",['PCA'],[],[],"['Genes', 'mENA']",['PCA']
PMC11145185,Inhibition of mRNA nuclear export promotes SARS-CoV-2 pathogenesis.,"The nonstructural protein 1 (Nsp1) of SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2) is a virulence factor that targets multiple cellular pathways to inhibit host gene expression and antiviral response. However, the underlying mechanisms of the various Nsp1-mediated functions and their contributions to SARS-CoV-2 virulence remain unclear. Among the targets of Nsp1 is the mRNA (messenger ribonucleic acid) export receptor NXF1-NXT1, which mediates nuclear export of mRNAs from the nucleus to the cytoplasm. Based on Nsp1 crystal structure, we generated mutants on Nsp1 surfaces and identified an acidic N-terminal patch that is critical for interaction with NXF1-NXT1. Photoactivatable Nsp1 probe reveals the RNA Recognition Motif (RRM) domain of NXF1 as an Nsp1 N-terminal binding site. By mutating the Nsp1 N-terminal acidic patch, we identified a separation-of-function mutant of Nsp1 that retains its translation inhibitory function but substantially loses its interaction with NXF1 and reverts Nsp1-mediated mRNA export inhibition. We then generated a recombinant (r)SARS-CoV-2 mutant on the Nsp1 N-terminal acidic patch and found that this surface is key to promote NXF1 binding and inhibition of host mRNA nuclear export, viral replication, and pathogenicity in vivo. Thus, these findings provide a mechanistic understanding of Nsp1-mediated mRNA export inhibition and establish the importance of this pathway in the virulence of SARS-CoV-2.",P00533,PCA,"['Genes', 'mENA']",['PCA'],[],[],"['Genes', 'mENA']",['PCA']
PMC10767420,Genotypic variants of the tetrahydrobiopterin (BH4) biosynthesis genes in patients with hyperphenylalaninemia from different regions of Iran.,"Hyperphenylalaninemia (HPA) is a metabolic disorder classified into phenylalanine-4-hydroxylase (PAH) and non-PAH deficiency. The latter is produced by mutations in genes involved in the tetrahydrobiopterin (BH4) biosynthesis pathway and DNAJC12 pathogenetic variants. The BH4 metabolism, including de novo biosynthesis involved genes (i.e., guanosine 5'-triphosphate cyclohydrolase I (GTPCH/GCH1), sepiapterin reductase (SR/SPR), 6-pyruvoyl-tetrahydropterin synthase (PTPS/PTS)), and two genes that play roles in cofactor regeneration pathway (i.e., dihydropteridine reductase (DHPR/QDPR) and pterin-4α-carbinolamine dehydratase (PCD/PCBD1)). The subsequent systemic hyperphenylalaninemia and monoamine neurotransmitter deficiency lead to neurological consequences. The high rate of consanguineous marriages in Iran substantially increases the incidence of BH4 deficiency.",P00533,Pterin,['Genes'],"['Pterin', 'Pterin', 'Pterin']",[],[],['Genes'],"['Pterin', 'Pterin', 'Pterin']"
PMC3500442,Comparative genomics guided discovery of two missing archaeal enzyme families involved in the biosynthesis of the pterin moiety of tetrahydromethanopterin and tetrahydrofolate.,"C-1 carriers are essential cofactors in all domains of life, and in Archaea, these can be derivatives of tetrahydromethanopterin (H(4)-MPT) or tetrahydrofolate (H(4)-folate). Their synthesis requires 6-hydroxymethyl-7,8-dihydropterin diphosphate (6-HMDP) as the precursor, but the nature of pathways that lead to its formation were unknown until the recent discovery of the GTP cyclohydrolase IB/MptA family that catalyzes the first step, the conversion of GTP to dihydroneopterin 2',3'-cyclic phosphate or 7,8-dihydroneopterin triphosphate [El Yacoubi, B.; et al. (2006) J. Biol. Chem., 281, 37586-37593 and Grochowski, L. L.; et al. (2007) Biochemistry46, 6658-6667]. Using a combination of comparative genomics analyses, heterologous complementation tests, and in vitro assays, we show that the archaeal protein families COG2098 and COG1634 specify two of the missing 6-HMDP synthesis enzymes. Members of the COG2098 family catalyze the formation of 6-hydroxymethyl-7,8-dihydropterin from 7,8-dihydroneopterin, while members of the COG1634 family catalyze the formation of 6-HMDP from 6-hydroxymethyl-7,8-dihydropterin. The discovery of these missing genes solves a long-standing mystery and provides novel examples of convergent evolutions where proteins of dissimilar architectures perform the same biochemical function.",P00533,Pterin,['Genes'],"['Pterin', 'Pterin', 'Pterin', 'Pterin']",[],['Pterin'],['Genes'],"['Pterin', 'Pterin', 'Pterin']"
PMC7879786,"Synthesis, cytotoxic evaluation, and molecular docking studies of some new 1, 3, 4-oxadiazole-based compounds.","Oxadiazole-derived compounds have been shown to have a wide range of pharmacological activities. 2, 5-Disubstituted 1, 3, 4-oxadiazole derivatives have occupied a specific place in the design of anti-proliferative agents. In the present work a series of 2, 5-disubstituted 1, 3, 4-oxadiazoles derivatives containing amide group has been synthesized",P00533,XA,"['EGFR', 'epidermal growth factor receptor', 'Epidermal growth factor receptor']",['XA'],[],[],"['EGFR', 'epidermal growth factor receptor', 'Epidermal growth factor receptor']",['XA']
PMC7879786,"Synthesis, cytotoxic evaluation, and molecular docking studies of some new 1, 3, 4-oxadiazole-based compounds.","Oxadiazole-derived compounds have been shown to have a wide range of pharmacological activities. 2, 5-Disubstituted 1, 3, 4-oxadiazole derivatives have occupied a specific place in the design of anti-proliferative agents. In the present work a series of 2, 5-disubstituted 1, 3, 4-oxadiazoles derivatives containing amide group has been synthesized",P00533,XA,"['EGFR', 'epidermal growth factor receptor', 'Epidermal growth factor receptor']",['XA'],[],[],"['EGFR', 'epidermal growth factor receptor', 'Epidermal growth factor receptor']",['XA']
PMC6540419,Combination treatment strategy for pancreatic cancer involving the novel HDAC inhibitor MPT0E028 with a MEK inhibitor beyond K-Ras status.,"Oncogenic K-Ras signaling highly relies on the canonical Ras/MEK/ERK pathway to contribute to pancreatic cancer progression. However, numerous efforts of MEK inhibitors have failed to provide an optimal antitumor effect for pancreatic cancer in practice. The aim of the present work was to develop a more efficacious therapeutic intervention for MEK inhibitors through combination with histone deacetylase (HDAC) inhibitor MPT0E028.",P00533,XA,"['EGFR', 'epidermal growth factor receptor', 'Genes', 'Epidermal growth factor receptor', 'mENA']",['XA'],[],[],"['EGFR', 'epidermal growth factor receptor', 'Genes', 'Epidermal growth factor receptor', 'mENA']",['XA']
PMC10998944,Apoptosis Induction by New Coumarin Derivatives in a Mice Model of Breast Cancer.,"In the last decades, numerous studies have focused on the search for new agents to suppress the growth of cancer cells. In this study, we investigated the effect of two novel synthetic coumarin derivatives, namely",P00533,XA,"['EGFR', 'Genes']",['XA'],[],[],"['EGFR', 'Genes']",['XA']
PMC10505742,Untargeted plasma metabolome identifies biomarkers in patients with extracranial arteriovenous malformations.,,P00533,XA,['Genes'],['XA'],[],[],['Genes'],['XA']
PMC8750090,"Bcr-TMP, a Novel Nanomolar-Active Compound That Exhibits Both MYB- and Microtubule-Inhibitory Activity.","Studies of the role of MYB in human malignancies have highlighted MYB as a potential drug target for acute myeloid leukemia (AML) and adenoid cystic carcinoma (ACC). Here, we present the initial characterization of 2-amino-4-(3,4,5-trimethoxyphenyl)-4",P00533,XA,['Genes'],['XA'],[],[],['Genes'],['XA']
PMC10998944,Apoptosis Induction by New Coumarin Derivatives in a Mice Model of Breast Cancer.,"In the last decades, numerous studies have focused on the search for new agents to suppress the growth of cancer cells. In this study, we investigated the effect of two novel synthetic coumarin derivatives, namely",P00533,XA,"['EGFR', 'Genes']",['XA'],[],[],"['EGFR', 'Genes']",['XA']
PMC9872381,Efficient production of cembratriene-ol in Escherichia coli via systematic optimization.,"The tobacco leaf-derived cembratriene-ol exhibits anti-insect effects, but its content in plants is scarce. Cembratriene-ol is difficult and inefficiently chemically synthesised due to its complex structure. Moreover, the titer of reported recombinant hosts producing cembratriene-ol was low and cannot be applied to industrial production.",P00533,XA,['Genes'],['XA'],[],[],['Genes'],['XA']
PMC11021867,Multivariate modular metabolic engineering and medium optimization for vitamin B,Vitamin B,P00533,XA,['Genes'],"['Yeast powder', 'XA', 'Yeast powder']",[],[],['Genes'],"['Yeast powder', 'XA', 'Yeast powder']"
PMC2892419,Discovery and structure determination of the orphan enzyme isoxanthopterin deaminase .,"Two previously uncharacterized proteins have been identified that efficiently catalyze the deamination of isoxanthopterin and pterin 6-carboxylate. The genes encoding these two enzymes, NYSGXRC-9339a ( gi|44585104 ) and NYSGXRC-9236b ( gi|44611670 ), were first identified from DNA isolated from the Sargasso Sea as part of the Global Ocean Sampling Project. The genes were synthesized, and the proteins were subsequently expressed and purified. The X-ray structure of Sgx9339a was determined at 2.7 A resolution (Protein Data Bank entry 2PAJ ). This protein folds as a distorted (beta/alpha)(8) barrel and contains a single zinc ion in the active site. These enzymes are members of the amidohydrolase superfamily and belong to cog0402 within the clusters of orthologous groups (COG). Enzymes in cog0402 have previously been shown to catalyze the deamination of guanine, cytosine, S-adenosylhomocysteine, and 8-oxoguanine. A small compound library of pteridines, purines, and pyrimidines was used to probe catalytic activity. The only substrates identified in this search were isoxanthopterin and pterin 6-carboxylate. The kinetic constants for the deamination of isoxanthopterin with Sgx9339a were determined to be 1.0 s(-1), 8.0 muM, and 1.3 x 10(5) M(-1) s(-1) (k(cat), K(m), and k(cat)/K(m), respectively). The active site of Sgx9339a most closely resembles the active site for 8-oxoguanine deaminase (Protein Data Bank entry 2UZ9 ). A model for substrate recognition of isoxanthopterin by Sgx9339a was proposed on the basis of the binding of guanine and xanthine in the active site of guanine deaminase. Residues critical for substrate binding appear to be conserved glutamine and tyrosine residues that form hydrogen bonds with the carbonyl oxygen at C4, a conserved threonine residue that forms hydrogen bonds with N5, and another conserved threonine residue that forms hydrogen bonds with the carbonyl group at C7. These conserved active site residues were used to identify 24 other genes which are predicted to deaminate isoxanthopterin.",P00533,XA,['Genes'],"['XANTHOPTERIN', 'XA', 'XANTHOPTERIN']",[],[],['Genes'],"['XANTHOPTERIN', 'XA', 'XANTHOPTERIN']"
PMC10998944,Apoptosis Induction by New Coumarin Derivatives in a Mice Model of Breast Cancer.,"In the last decades, numerous studies have focused on the search for new agents to suppress the growth of cancer cells. In this study, we investigated the effect of two novel synthetic coumarin derivatives, namely",P00533,XA,"['EGFR', 'Genes']",['XA'],[],[],"['EGFR', 'Genes']",['XA']
PMC2910361,"Design, synthesis and evaluation of 2-amino-4-m-bromoanilino-6-arylmethyl-7H-pyrrolo[2,3-d]pyrimidines as tyrosine kinase inhibitors and antiangiogenic agents.","A series of 2-amino-4-m-bromoanilino-6-benzyl pyrrolo[2,3-d]pyrimidines analogues 4-12 were synthesized and evaluated as inhibitors of receptor tyrosine kinases (RTKs). These analogues were synthesized from the appropriate alpha-bromomethylbenzylketones via cyclocondensation with 2,6-diamino-4-pyrimidone to afford the 2-amino-4-oxo-6-substituted benzyl pyrrolo[2,3-d]pyrimidines. Chlorination at the 4-position followed by displacement with 3-bromoaniline or 3-bromo-N-methylaniline and methylation of the 7-NH afforded the target compounds. Remarkably, dimethylation of both the 4-N and N7 afford whole cell EGFR inhibitors that are more cytotoxic than clinically used erlotinib and mono-methylation at the 4-N or N7 affords more cytotoxic whole cell PDGFR-beta inhibitors than clinically used sunitinib. Methylation at either the 4-N or N7 position was detrimental to whole cell VEGFR-2 inhibition. The inhibitory data against the RTKs in this study demonstrates that methylation of the 4-NH and/or the 7-NH influences both the specificity and potency of RTK inhibition.",P00533,XA,"['EGFR', 'epidermal growth factor receptor', 'Genes', 'Epidermal growth factor receptor']",['XA'],[],[],"['EGFR', 'epidermal growth factor receptor', 'Genes', 'Epidermal growth factor receptor']",['XA']
PMC10923034,"Treatment patterns and clinical outcomes of chidamide combined with endocrine therapy in hormone receptor-positive, HER2-negative metastatic breast cancer: A real-world multicenter study.","Chidamide is a selective histone deacetylase inhibitor approved for patients with hormone receptor (HoR)-positive and HER2-negative metastatic breast cancer (MBC). We aimed to investigate the efficacy, safety, and treatment patterns of chidamide and identify clinicopathological factors that predict the efficacy of chidamide in real-world scenarios.",P00533,XA,"['epidermal growth factor receptor', 'Epidermal growth factor receptor', 'ERBB']",['XA'],[],[],"['epidermal growth factor receptor', 'Epidermal growth factor receptor', 'ERBB']",['XA']
PMC11159033,Occurrence of mutations in the epidermal growth factor receptor gene in X-ray-induced rat lung tumors.,"Epidermal growth factor receptor (EGFR) gene alterations have been found in human lung cancers. However, there is no information on the factors inducing EGFR mutations. In rodents, K-ras mutations are frequently found in many lung carcinogenesis models, but hitherto, Egfr mutations have not been reported. Their presence was therefore investigated in representative lung carcinogenesis models with 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone (NNK), N-nitrosobis(2-hydroxypropyl)amine (BHP), 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline (MeIQx) and ethyl carbamate (urethane), as well as X-ray irradiation. With the chemical carcinogenesis models, no mutations were detected in Egfr, which is in clear contrast to the high rates observed in either codon 12 or 61 of K-ras (21/23 of the lung tumors induced with NNK, 4/5 with MeIQx, 1/4 with urethane and 7/18 with BHP). However, in the X-ray-induced lung tumors, Egfr mutations with amino acid substitution were observed in exons 18 and 21 (4/12, 33%), but no activating mutation of K-ras was detected. In addition, one and four silent mutations were identified in K-ras (exon 1) and Egfr (exons 18, 20 and 21), respectively. Most mutations in both Egfr and K-ras were G/C-->A/T transitions (7/8, 88% and 31/34, 91%, respectively). Although, the mutational patterns in equivalent human lesions were not completely coincident, this first report of Egfr mutations in an experimental lung tumor model suggests that X-rays or other factors producing oxygen radicals could cause EGFR mutations in some proportion of lung cancers in humans.",P00533,XA,"['epidermal growth factor receptor', 'EGFR', 'epidermal growth factor receptor', 'Genes', 'Epidermal growth factor receptor', 'ERBB']",['XA'],['epidermal growth factor receptor'],[],"['EGFR', 'epidermal growth factor receptor', 'Genes', 'Epidermal growth factor receptor', 'ERBB']",['XA']
